iter	Logloss
0	0.687560219
1	0.6842008193
2	0.6782074639
3	0.6722850422
4	0.6667630891
5	0.6631416093
6	0.6579147844
7	0.6524579739
8	0.6479080271
9	0.643245792
10	0.6383960359
11	0.6334065944
12	0.6300874972
13	0.6252746749
14	0.62028372
15	0.6168889595
16	0.6124335376
17	0.609118788
18	0.6048241482
19	0.6007061504
20	0.5975135043
21	0.5938741077
22	0.5899436013
23	0.5868763558
24	0.5818084044
25	0.5777675903
26	0.5739314742
27	0.5700113553
28	0.5662670241
29	0.5629148846
30	0.5588830606
31	0.5553163582
32	0.5514573552
33	0.5481316917
34	0.5448101778
35	0.5423239178
36	0.5400848605
37	0.5363785517
38	0.5337184959
39	0.5303161558
40	0.5276758114
41	0.524562841
42	0.5216225187
43	0.5193720186
44	0.5167712673
45	0.5137133366
46	0.5110786357
47	0.508599705
48	0.5062725413
49	0.5030563019
50	0.5002623099
51	0.4977534287
52	0.4952386835
53	0.4928159208
54	0.4901623914
55	0.4878585204
56	0.4860297482
57	0.4838082526
58	0.481380811
59	0.4793310071
60	0.4776325586
61	0.4757945257
62	0.4730319105
63	0.4702872017
64	0.4687007541
65	0.4669332262
66	0.4643903636
67	0.4628942466
68	0.460510355
69	0.4588308874
70	0.4570228676
71	0.4547150707
72	0.4528492963
73	0.4515218159
74	0.4501647748
75	0.4483181646
76	0.4465892816
77	0.4443593318
78	0.4427910099
79	0.4418081369
80	0.4401700739
81	0.4390979713
82	0.4379643562
83	0.4369033126
84	0.4350948292
85	0.4346870724
86	0.4336173586
87	0.4323962709
88	0.4311673023
89	0.4290328152
90	0.4278163288
91	0.4260663783
92	0.4250460355
93	0.4238347735
94	0.422413543
95	0.4211384037
96	0.419112847
97	0.4176714352
98	0.4169449617
99	0.415555387
100	0.4141770288
101	0.4127515458
102	0.4113823796
103	0.4100240327
104	0.4087002282
105	0.4073823734
106	0.4057559688
107	0.4045491285
108	0.4033000694
109	0.4017699281
110	0.4000695687
111	0.3990269086
112	0.3974759744
113	0.3963268066
114	0.3951118047
115	0.3940603683
116	0.3930626685
117	0.3918320566
118	0.3907265796
119	0.3895590473
120	0.3885247583
121	0.3874033794
122	0.3861629715
123	0.3849768611
124	0.3836957033
125	0.3832419359
126	0.3817041871
127	0.3803680066
128	0.3788326474
129	0.3776465389
130	0.376748816
131	0.3755589868
132	0.3747956575
