iter	Passed	Remaining
0	1	1457
1	4	2107
2	6	2105
3	11	2969
4	14	2822
5	15	2606
6	17	2495
7	21	2678
8	24	2657
9	25	2566
10	27	2470
11	28	2381
12	30	2310
13	32	2281
14	33	2228
15	37	2296
16	39	2268
17	42	2296
18	43	2256
19	45	2224
20	47	2196
21	48	2166
22	51	2207
23	54	2220
24	56	2212
25	58	2186
26	59	2160
27	61	2129
28	62	2101
29	64	2074
30	65	2055
31	68	2071
32	70	2075
33	72	2061
34	73	2037
35	75	2014
36	76	1990
37	77	1967
38	79	1948
39	80	1928
40	81	1909
41	85	1939
42	86	1932
43	88	1915
44	89	1899
45	91	1901
46	93	1892
47	94	1883
48	96	1868
49	97	1854
50	100	1871
51	102	1867
52	104	1871
53	106	1860
54	107	1847
55	108	1835
56	110	1822
57	111	1810
58	112	1799
59	114	1794
60	116	1792
61	117	1785
62	119	1775
63	121	1769
64	122	1768
65	124	1761
66	126	1754
67	127	1747
68	128	1740
69	132	1758
70	134	1754
71	135	1749
72	137	1745
73	138	1738
74	140	1733
75	142	1728
76	143	1722
77	145	1716
78	148	1735
79	150	1725
80	151	1721
81	153	1716
82	154	1707
83	156	1702
84	157	1696
85	158	1683
86	159	1677
87	161	1671
88	164	1686
89	166	1684
90	168	1679
91	169	1673
92	170	1667
93	172	1661
94	173	1656
95	175	1650
96	176	1647
97	180	1662
98	182	1657
99	183	1653
100	185	1648
101	186	1643
102	188	1639
103	189	1633
104	191	1628
105	192	1623
106	195	1631
107	197	1631
108	199	1631
109	201	1631
110	203	1627
111	204	1624
112	206	1621
113	207	1616
114	209	1613
115	212	1618
116	213	1614
117	215	1610
118	217	1606
119	218	1602
120	220	1599
121	221	1596
122	223	1593
123	225	1589
124	228	1598
125	229	1595
126	231	1591
127	233	1588
128	234	1584
129	236	1579
130	237	1576
131	239	1571
132	240	1568
133	243	1576
134	245	1573
135	247	1569
136	248	1565
137	250	1562
138	251	1556
139	252	1552
140	254	1547
141	255	1544
142	257	1540
143	259	1543
144	261	1541
145	263	1538
146	264	1534
147	266	1531
148	267	1528
149	269	1525
150	270	1522
151	272	1519
152	275	1523
153	276	1520
154	278	1517
155	280	1515
156	281	1512
157	283	1508
158	285	1507
159	286	1504
160	288	1501
161	290	1504
162	292	1503
163	294	1502
164	296	1501
165	298	1501
166	300	1498
167	301	1493
168	302	1489
169	304	1486
170	307	1491
171	309	1489
172	311	1486
173	312	1483
174	313	1480
175	315	1477
176	317	1474
177	318	1471
178	320	1468
179	323	1472
180	324	1469
181	326	1466
182	327	1463
183	328	1457
184	330	1453
185	331	1450
186	333	1448
187	334	1444
188	335	1441
189	339	1445
190	340	1442
191	342	1440
192	344	1438
193	345	1435
194	347	1433
195	348	1430
196	350	1427
197	351	1425
198	353	1423
199	356	1424
200	357	1421
201	359	1418
202	360	1415
203	362	1415
204	365	1415
205	367	1415
206	371	1422
207	373	1422
208	375	1422
209	378	1422
210	381	1427
211	384	1428
212	394	1457
213	396	1455
214	397	1452
215	399	1450
216	401	1448
217	405	1452
218	406	1450
219	408	1447
220	409	1445
221	411	1442
222	412	1439
223	414	1435
224	416	1432
225	416	1427
226	419	1429
227	421	1426
228	422	1423
229	424	1420
230	425	1417
231	427	1414
232	428	1411
233	430	1408
234	431	1405
235	433	1402
236	436	1404
237	438	1402
238	439	1399
239	441	1398
240	442	1394
241	446	1396
242	447	1394
243	449	1391
244	452	1393
245	453	1391
246	455	1388
247	456	1385
248	458	1383
249	460	1380
250	461	1377
251	463	1374
252	464	1371
253	467	1372
254	469	1370
255	470	1367
256	472	1365
257	473	1362
258	475	1359
259	476	1357
260	478	1354
261	480	1352
